Horários,Dom,Seg,Ter,Qua,Qui,Sex,Sab
07:30 - 08:20,6,3,37,3,3,3,6
08:20 - 09:10,6,3,3,3,3,3,6
09:20 - 10:10,6,3,3,3,3,3,6
10:10 - 11:00,6,3,3,3,3,3,6
11:10 - 12:00,6,3,3,3,3,3,6
12:00 - 12:50,6,3,5,5,5,5,6
13:30 - 14:20,6,3,5,5,5,5,6
14:20 - 15:10,6,3,5,5,5,5,6
15:20 - 16:10,6,3,5,5,5,5,6
16:10 - 17:00,6,3,5,5,5,5,6
17:10 - 18:00,6,3,5,5,5,5,6
18:00 - 18:50,6,1,5,5,5,5,6
19:00 - 19:50,6,1,5,5,5,5,6
19:50 - 20:40,6,1,5,5,5,5,6
20:50 - 21:40,6,1,5,5,5,5,6
21:40 - 22:30,6,1,5,5,5,5,6
